Data e Hora,pm25,pm25_missing_flag,trend_7d_ma,seasonal_hourly,remainder
2017-01-04 00:30:00,13.0,0.0,16.654761904761905,-0.1290378330623101,-3.525724071699595
2017-01-04 01:30:00,20.0,0.0,16.647058823529413,-0.35640156625804204,3.709342742728629
2017-01-04 02:30:00,10.0,0.0,16.651162790697676,-0.705891962854214,-5.945270827843462
2017-01-04 03:30:00,17.0,0.0,16.655172413793103,-1.0822305672621522,1.427058153469049
2017-01-04 04:30:00,14.0,0.0,16.647727272727273,-1.2137506553129318,-1.4339766174143416
2017-01-04 05:30:00,12.5,1.0,16.651685393258425,-1.1597164252356007,-2.9919689680228245
2017-01-04 06:30:00,11.0,1.0,16.666666666666668,-0.929135010277158,-4.73753165638951
2017-01-04 07:30:00,9.5,1.0,16.64835164835165,-0.9640843176101713,-6.184267330741478
2017-01-04 08:30:00,8.0,0.0,16.684782608695652,-0.8879431546854667,-7.796839454010185
2017-01-04 09:30:00,17.0,0.0,16.78494623655914,-0.8104635665936863,1.0255173300345464
2017-01-04 10:30:00,18.0,0.0,16.851063829787233,-1.1546371996857847,2.303573369898552
2017-01-04 11:30:00,17.0,0.0,16.86315789473684,-1.3282434509523995,1.4650855562155591
2017-01-04 12:30:00,17.0,0.0,16.916666666666668,-1.3477442836543827,1.4310776169877149
2017-01-04 13:30:00,19.0,0.0,16.917525773195877,-1.4354261401949724,3.517900366999096
2017-01-04 14:30:00,18.0,0.0,16.908163265306122,-1.3159857343480807,2.4078224690419585
2017-01-04 15:30:00,17.0,0.0,16.939393939393938,-0.9225991937340625,0.9832052543401248
2017-01-04 16:30:00,23.0,0.0,16.93,0.1560085342170231,5.913991465782977
2017-01-04 17:30:00,22.0,0.0,16.91089108910891,1.9967324689050554,3.092376441986033
2017-01-04 18:30:00,18.0,0.0,16.91176470588235,2.719050407759664,-1.6308151136420155
2017-01-04 19:30:00,23.0,0.0,16.9126213592233,2.706992058473023,3.3803865823036756
2017-01-04 20:30:00,25.0,0.0,16.884615384615383,2.950901682372879,5.164482933011738
2017-01-04 21:30:00,45.0,0.0,16.81904761904762,2.5224646853360935,25.658487695616287
2017-01-04 22:30:00,20.0,0.0,16.82075471698113,1.9262850003971579,1.2529602826217108
2017-01-04 23:30:00,16.0,0.0,16.813084112149532,0.7839767835227864,-1.5970608956723187
2017-01-05 00:30:00,12.0,0.0,16.824074074074073,-0.1290378330623101,-4.6950362410117625
2017-01-05 01:30:00,12.666666666666666,1.0,16.807339449541285,-0.35640156625804204,-3.7842712166165766
2017-01-05 02:30:00,13.333333333333334,1.0,16.863636363636363,-0.705891962854214,-2.8244110674488154
2017-01-05 03:30:00,14.0,0.0,16.873873873873872,-1.0822305672621522,-1.7916433066117203
2017-01-05 04:30:00,14.0,0.0,16.875,-1.2137506553129318,-1.6612493446870682
2017-01-05 05:30:00,13.0,0.0,16.884955752212388,-1.1597164252356007,-2.725239326976787
2017-01-05 06:30:00,15.0,0.0,16.894736842105264,-0.929135010277158,-0.9656018318281058
2017-01-05 07:30:00,11.0,0.0,16.869565217391305,-0.9640843176101713,-4.905480899781133
2017-01-05 08:30:00,16.0,0.0,16.853448275862068,-0.8879431546854667,0.03449487882339908
2017-01-05 09:30:00,18.0,0.0,17.085470085470085,-0.8104635665936863,1.7249934811236012
2017-01-05 10:30:00,17.0,0.0,17.084745762711865,-1.1546371996857847,1.0698914369739196
2017-01-05 11:30:00,18.0,0.0,17.10924369747899,-1.3282434509523995,2.2189997534734083
2017-01-05 12:30:00,14.0,0.0,17.116666666666667,-1.3477442836543827,-1.7689223830122844
2017-01-05 13:30:00,20.0,0.0,17.09090909090909,-1.4354261401949724,4.344517049285883
2017-01-05 14:30:00,14.0,0.0,17.040983606557376,-1.3159857343480807,-1.724997872209295
2017-01-05 15:30:00,15.0,0.0,17.024390243902438,-0.9225991937340625,-1.1017910501683756
2017-01-05 16:30:00,19.0,0.0,17.008064516129032,0.1560085342170231,1.835926949653945
2017-01-05 17:30:00,22.0,0.0,16.968,1.9967324689050554,3.0352675310949446
2017-01-05 18:30:00,23.0,0.0,16.952380952380953,2.719050407759664,3.3285686398593834
2017-01-05 19:30:00,19.0,0.0,16.929133858267715,2.706992058473023,-0.6361259167407378
2017-01-05 20:30:00,16.0,0.0,16.90625,2.950901682372879,-3.857151682372879
2017-01-05 21:30:00,21.0,0.0,16.906976744186046,2.5224646853360935,1.5705585704778602
2017-01-05 22:30:00,17.0,0.0,16.9,1.9262850003971579,-1.8262850003971565
2017-01-05 23:30:00,22.0,0.0,16.87786259541985,0.7839767835227864,4.338160621057365
2017-01-06 00:30:00,19.0,0.0,16.856060606060606,-0.1290378330623101,2.2729772270017046
2017-01-06 01:30:00,15.0,0.0,16.849624060150376,-0.35640156625804204,-1.4932224938923337
2017-01-06 02:30:00,16.0,0.0,16.83582089552239,-0.705891962854214,-0.12992893266817473
2017-01-06 03:30:00,16.0,0.0,16.83703703703704,-1.0822305672621522,0.24519353022511337
2017-01-06 04:30:00,14.0,0.0,16.830882352941178,-1.2137506553129318,-1.6171316976282457
2017-01-06 05:30:00,15.0,0.0,16.83211678832117,-1.1597164252356007,-0.6724003630855686
2017-01-06 06:30:00,16.0,0.0,16.869565217391305,-0.929135010277158,0.05956979288585329
2017-01-06 07:30:00,15.0,0.0,16.848920863309353,-0.9640843176101713,-0.8848365456991812
2017-01-06 08:30:00,16.0,0.0,16.87142857142857,-0.8879431546854667,0.016514583256896587
2017-01-06 09:30:00,17.0,0.0,17.163120567375888,-0.8104635665936863,0.6473429992177986
2017-01-06 10:30:00,13.0,0.0,17.338028169014084,-1.1546371996857847,-3.1833909693282996
2017-01-06 11:30:00,17.0,0.0,17.356643356643357,-1.3282434509523995,0.9716000943090428
2017-01-06 12:30:00,15.0,0.0,17.375,-1.3477442836543827,-1.0272557163456173
2017-01-06 13:30:00,19.0,0.0,17.386206896551723,-1.4354261401949724,3.0492192436432495
2017-01-06 14:30:00,18.0,0.0,17.36986301369863,-1.3159857343480807,1.9461227206494505
2017-01-06 15:30:00,15.0,0.0,17.367346938775512,-0.9225991937340625,-1.4447477450414494
2017-01-06 16:30:00,17.0,0.0,17.33783783783784,0.1560085342170231,-0.4938463720548617
2017-01-06 17:30:00,21.0,0.0,17.315436241610737,1.9967324689050554,1.6878312894842078
2017-01-06 18:30:00,18.0,0.0,17.3,2.719050407759664,-2.0190504077596647
2017-01-06 19:30:00,17.0,0.0,17.28476821192053,2.706992058473023,-2.9917602703935517
2017-01-06 20:30:00,17.0,0.0,17.31578947368421,2.950901682372879,-3.266691156057088
2017-01-06 21:30:00,24.0,0.0,17.313725490196077,2.5224646853360935,4.16380982446783
2017-01-06 22:30:00,20.0,0.0,17.27922077922078,1.9262850003971579,0.7944942203820631
2017-01-06 23:30:00,13.0,0.0,17.283870967741937,0.7839767835227864,-5.067847751264723
2017-01-07 00:30:00,14.0,0.0,17.294871794871796,-0.1290378330623101,-3.1658339618094855
2017-01-07 01:30:00,14.0,0.0,17.305732484076433,-0.35640156625804204,-2.949330917818391
2017-01-07 02:30:00,12.0,0.0,17.29113924050633,-0.705891962854214,-4.585247277652115
2017-01-07 03:30:00,13.0,0.0,17.28301886792453,-1.0822305672621522,-3.200788300662377
2017-01-07 04:30:00,12.0,0.0,17.275,-1.2137506553129318,-4.0612493446870666
2017-01-07 05:30:00,11.0,0.0,17.279503105590063,-1.1597164252356007,-5.119786680354462
2017-01-07 06:30:00,14.0,0.0,17.28395061728395,-0.929135010277158,-2.3548156070067914
2017-01-07 07:30:00,18.0,0.0,17.30674846625767,-0.9640843176101713,1.6573358513525016
2017-01-07 08:30:00,14.0,0.0,17.329268292682926,-0.8879431546854667,-2.441325137997459
2017-01-07 09:30:00,12.0,0.0,17.33939393939394,-0.8104635665936863,-4.528930372800254
2017-01-07 10:30:00,19.0,0.0,17.403614457831324,-1.1546371996857847,2.7510227418544604
2017-01-07 11:30:00,17.0,0.0,17.41317365269461,-1.3282434509523995,0.9150697982577896
2017-01-07 12:30:00,16.0,0.0,17.464285714285715,-1.3477442836543827,-0.1165414306313326
2017-01-07 13:30:00,17.0,0.0,17.476190476190474,-1.4354261401949724,0.9592356640044979
2017-01-07 14:30:00,17.0,0.0,17.43452380952381,-1.3159857343480807,0.8814619248242705
2017-01-07 15:30:00,16.0,0.0,17.44047619047619,-0.9225991937340625,-0.5178769967421273
2017-01-07 16:30:00,17.0,0.0,17.43452380952381,0.1560085342170231,-0.5905323437408333
2017-01-07 17:30:00,18.0,0.0,17.43452380952381,1.9967324689050554,-1.4312562784288656
2017-01-07 18:30:00,15.0,0.0,17.4375,2.719050407759664,-5.156550407759664
2017-01-07 19:30:00,20.0,0.0,17.455357142857142,2.706992058473023,-0.16234920133016528
2017-01-07 20:30:00,26.0,0.0,17.464285714285715,2.950901682372879,5.584812603341406
2017-01-07 21:30:00,23.0,0.0,17.482142857142858,2.5224646853360935,2.995392457521049
2017-01-07 22:30:00,18.0,0.0,17.428571428571427,1.9262850003971579,-1.354856428968585
2017-01-07 23:30:00,22.0,0.0,17.386904761904763,0.7839767835227864,3.829118454572451
2017-01-08 00:30:00,17.0,0.0,17.375,-0.1290378330623101,-0.2459621669376899
2017-01-08 01:30:00,16.0,0.0,17.357142857142858,-0.35640156625804204,-1.0007412908848157
2017-01-08 02:30:00,20.0,0.0,17.351190476190474,-0.705891962854214,3.3547014866637395
2017-01-08 03:30:00,16.0,0.0,17.357142857142858,-1.0822305672621522,-0.2749122898807055
2017-01-08 04:30:00,15.0,0.0,17.375,-1.2137506553129318,-1.1612493446870682
2017-01-08 05:30:00,17.0,0.0,17.333333333333332,-1.1597164252356007,0.8263830919022686
2017-01-08 06:30:00,17.0,0.0,17.291666666666668,-0.929135010277158,0.6374683436104901
