horizonte,posicao_encoder,posicao_relativa_horas,rotulo_posicao,peso_medio
4,14,-33,t-33,0.020964132621884346
4,15,-32,t-32,0.020936762914061546
4,16,-31,t-31,0.020911848172545433
4,17,-30,t-30,0.02089075930416584
4,18,-29,t-29,0.020877985283732414
4,19,-28,t-28,0.020872628316283226
4,20,-27,t-27,0.02087347023189068
4,21,-26,t-26,0.02087852545082569
4,22,-25,t-25,0.020885607227683067
4,23,-24,t-24,0.020891161635518074
4,24,-23,t-23,0.02089512348175049
4,25,-22,t-22,0.020893681794404984
4,26,-21,t-21,0.020885534584522247
4,27,-20,t-20,0.02087341621518135
4,28,-19,t-19,0.020863082259893417
4,29,-18,t-18,0.0208551324903965
4,30,-17,t-17,0.02085447497665882
4,31,-16,t-16,0.020860085263848305
4,32,-15,t-15,0.02087203413248062
4,33,-14,t-14,0.020887624472379684
4,34,-13,t-13,0.020905137062072754
4,35,-12,t-12,0.02092357911169529
4,36,-11,t-11,0.020943231880664825
4,37,-10,t-10,0.02096044272184372
4,38,-9,t-9,0.02097453735768795
4,39,-8,t-8,0.02098827064037323
4,40,-7,t-7,0.021006383001804352
4,41,-6,t-6,0.02103099413216114
4,42,-5,t-5,0.02106480859220028
4,43,-4,t-4,0.021105295047163963
4,44,-3,t-3,0.02115257829427719
4,45,-2,t-2,0.021205082535743713
4,46,-1,t-1,0.021260932087898254
4,47,0,t,0.021315565332770348
5,0,-47,t-47,0.018736934289336205
5,1,-46,t-46,0.01919030211865902
5,2,-45,t-45,0.019784150645136833
5,3,-44,t-44,0.020274462178349495
5,4,-43,t-43,0.020602967590093613
5,5,-42,t-42,0.020805560052394867
5,6,-41,t-41,0.020921800285577774
5,7,-40,t-40,0.020985610783100128
5,8,-39,t-39,0.02101914957165718
5,9,-38,t-38,0.021035170182585716
5,10,-37,t-37,0.021036745980381966
5,11,-36,t-36,0.021027104929089546
5,12,-35,t-35,0.021008627489209175
5,13,-34,t-34,0.02098650485277176
5,14,-33,t-33,0.020961187779903412
5,15,-32,t-32,0.0209351759403944
5,16,-31,t-31,0.020911360159516335
5,17,-30,t-30,0.02089248038828373
5,18,-29,t-29,0.020878857001662254
5,19,-28,t-28,0.020873254165053368
5,20,-27,t-27,0.020873533561825752
5,21,-26,t-26,0.020878208801150322
5,22,-25,t-25,0.020884474739432335
5,23,-24,t-24,0.020889993757009506
5,24,-23,t-23,0.020891839638352394
5,25,-22,t-22,0.020890632644295692
5,26,-21,t-21,0.020884566009044647
5,27,-20,t-20,0.0208746250718832
5,28,-19,t-19,0.020865358412265778
5,29,-18,t-18,0.020860327407717705
5,30,-17,t-17,0.02085791528224945
5,31,-16,t-16,0.020861418917775154
5,32,-15,t-15,0.020870650187134743
5,33,-14,t-14,0.02088652364909649
5,34,-13,t-13,0.02090541087090969
5,35,-12,t-12,0.020924465730786324
5,36,-11,t-11,0.020942451432347298
5,37,-10,t-10,0.020960090681910515
5,38,-9,t-9,0.020975593477487564
5,39,-8,t-8,0.020990580320358276
5,40,-7,t-7,0.021009135991334915
5,41,-6,t-6,0.021034812554717064
5,42,-5,t-5,0.021067868918180466
5,43,-4,t-4,0.021109189838171005
