modelo,samples,attention_entropy_norm,attention_max_weight,attention_top3_mass,attention_last_step_mass,attention_last6_mass,attention_lag24_aligned_mass,attention_lag48_aligned_mass,diagnostics_json,diagnostics_json_values
Seq2Seq attention HPO,5177.0,0.9659156122381861,0.051724258810281754,0.1395038515329361,0.02276134304702282,0.13214105367660522,0.020875683054327965,0.020901650190353394,/home/portes/DEV/TCC/TCC-wsl/runtime/reports/sapo_clean_pm10_hpo_all_models_20260509/artifacts/seq2seq_attention_clean_pm10_hpo/test_outputs/attention_diagnostics.json,"{""attention_entropy_norm"": 0.9659149443049385, ""attention_lag24_aligned_mass"": 0.02087556100783564, ""attention_lag48_aligned_mass"": 0.020901803845685647, ""attention_last6_mass"": 0.1321397456787534, ""attention_last_step_mass"": 0.022761003438875778, ""attention_max_weight"": 0.051726378274511965, ""attention_top3_mass"": 0.13950807943399995}"
Seq2Seq L1 ponderada,5177.0,0.9890423116197811,0.03472793847322464,0.10090810060501099,0.021330028772354126,0.1272217184305191,0.021009424701333046,0.02069227024912834,/home/portes/DEV/TCC/TCC-wsl/runtime/reports/seq2seq_weighted_l1_hpo_20260509/artifacts/weighted_l1_hpo_mae/test_outputs/test_outputs/attention_diagnostics.json,"{""attention_entropy_norm"": 0.9890418099033788, ""attention_lag24_aligned_mass"": 0.02100932422343443, ""attention_lag48_aligned_mass"": 0.020692367116510426, ""attention_last6_mass"": 0.127221489480716, ""attention_last_step_mass"": 0.021330019640343808, ""attention_max_weight"": 0.03472735040409353, ""attention_top3_mass"": 0.10090669923384078}"
